"Habitat","NormalizedTribalValue"
"HeadwatersandCreeks",1
"MediumRivers",0
"LakesandReservoirs",0.386138613861386
"Forests",0.316831683168317
"Grasslands",0.594059405940594
"Shrublands",0.475247524752475
"Cliffs",0.211221122112211
"UpperSlopes",0.316831683168317
"SideSlopes",0.356435643564356
"Flats",0.963696369636964
