"Habitat","NormalizedAvailability"
"HeadwatersandCreeks",0.909332618430859
"MediumRivers",0.887007400047992
"LakesandReservoirs",0
"Forests",0.90018106503839
"Grasslands",0.86873655344213
"Shrublands",1
"Cliffs",0.903761597095609
"UpperSlopes",0.878322281643821
"SideSlopes",0.894339339785881
"Flats",0.7357783423291
